['3053365', '21', '121']
['3053372', '20', '121']
['3053387', '20', '121']
['3053394', '20', '121']
['3053402', '20', '121']
['3053416', '20', '121']
['3053423', '20', '121']
['3053437', '20', '121']
['3053445', '20', '121']
['3053452', '20', '120']
['3053466', '20', '120']
['3053473', '20', '120']
['3053488', '21', '120']
['3053495', '21', '120']
['3053502', '21', '120']
['3053517', '20', '120']
['3053524', '20', '120']
['3053538', '20', '119']
['3053545', '20', '119']
['3053553', '20', '119']
['3053567', '20', '119']
['3053574', '20', '119']
['3053588', '20', '119']
['3053596', '20', '119']
['3053603', '21', '119']
['3053617', '21', '119']
['3053625', '21', '119']
['3053639', '21', '119']
['3053646', '21', '119']
['3053653', '21', '119']
['3053668', '21', '119']
['3053675', '21', '119']
['3053689', '22', '119']
['3053696', '22', '119']
['3053704', '22', '119']
['3053718', '22', '119']
['3053725', '22', '119']
['3053740', '22', '119']
['3053747', '22', '120']
['3053754', '22', '120']
['3053768', '22', '120']
['3053776', '22', '120']
['3053790', '22', '119']
['3053797', '22', '119']
['3053804', '22', '119']
['3053819', '22', '119']
['3053826', '22', '119']
['3053840', '22', '119']
['3053848', '22', '119']
['3053855', '22', '119']
['3053869', '22', '119']
['3053876', '22', '119']
['3053891', '22', '119']
['3053898', '22', '119']
['3053905', '21', '119']
['3053919', '21', '119']
['3053927', '21', '119']
['3053941', '21', '119']
['3053948', '21', '119']
['3053956', '21', '119']
['3053970', '20', '119']
['3053977', '20', '119']
['3053991', '20', '119']
['3053999', '20', '119']
['3054006', '20', '119']
['3054020', '20', '119']
['3054027', '20', '119']
['3054042', '20', '119']
['3054049', '20', '119']
['3054056', '20', '119']
['3054071', '20', '119']
['3054078', '20', '119']
['3054085', '20', '119']
['3054099', '20', '119']
['3054107', '20', '119']
['3054121', '20', '120']
['3054128', '20', '120']
['3054135', '20', '120']
['3054150', '20', '120']
['3054157', '20', '120']
['3054171', '20', '120']
['3054178', '20', '120']
['3054186', '20', '120']
['3054200', '21', '120']
['3054207', '21', '120']
['3054222', '21', '120']
['3054229', '21', '120']
['3054236', '21', '121']
['3054250', '21', '121']
['3054258', '21', '121']
['3054272', '20', '121']
['3054279', '20', '121']
['3054286', '20', '121']
['3054301', '20', '121']
['3054308', '20', '121']
['3054322', '20', '121']
['3054330', '20', '121']
['3054337', '20', '121']
['3054351', '20', '121']
['3054358', '20', '121']
['3054373', '20', '121']
['3054380', '20', '121']
['3054387', '20', '121']
['3054401', '20', '121']
['3054409', '20', '121']
['3054423', '20', '121']
['3054430', '20', '121']
['3054438', '20', '121']
['3054452', '20', '121']
['3054459', '20', '121']
['3054473', '20', '122']
['3054481', '20', '121']
['3054488', '20', '121']
['3054502', '20', '121']
['3054509', '20', '121']
['3054524', '20', '122']
['3054531', '20', '122']
['3054538', '20', '122']
['3054553', '20', '122']
['3054560', '20', '122']
['3054574', '20', '122']
['3054581', '20', '122']
['3054589', '20', '122']
['3054603', '20', '122']
['3054610', '20', '122']
['3054624', '20', '122']
['3054632', '20', '122']
['3054639', '20', '122']
['3054653', '20', '122']
['3054661', '20', '122']
['3054668', '20', '122']
['3054682', '20', '122']
['3054689', '20', '122']
['3054704', '20', '122']
['3054711', '20', '122']
['3054718', '20', '122']
['3054732', '20', '122']
['3054740', '20', '122']
['3054754', '20', '122']
['3054761', '20', '122']
['3054768', '20', '122']
['3054783', '20', '122']
['3054790', '20', '122']
['3054804', '20', '121']
['3054812', '20', '121']
['3054819', '20', '121']
['3054833', '20', '121']
['3054840', '20', '121']
['3054855', '20', '121']
['3054862', '20', '121']
['3054869', '20', '121']
['3054884', '20', '121']
['3054891', '20', '121']
['3054905', '20', '121']
['3054912', '20', '121']
['3054919', '20', '121']
['3054934', '20', '121']
['3054941', '20', '121']
['3054955', '20', '120']
['3054963', '20', '120']
['3054970', '20', '120']
['3054984', '20', '121']
['3054991', '20', '121']
['3055006', '20', '121']
['3055013', '20', '121']
['3055020', '20', '121']
['3055035', '20', '121']
['3055042', '20', '121']
['3055056', '20', '121']
['3055063', '20', '121']
['3055070', '20', '121']
['3055085', '20', '121']
['3055092', '20', '121']
['3055107', '21', '121']
['3055114', '21', '121']
['3055121', '21', '121']
['3055135', '21', '121']
['3055142', '20', '121']
['3055157', '20', '121']
['3055164', '20', '121']
['3055171', '20', '121']
['3055186', '20', '120']
['3055193', '20', '120']
['3055207', '21', '120']
['3055214', '21', '120']
['3055222', '21', '120']
['3055236', '21', '120']
['3055243', '21', '120']
['3055258', '21', '120']
['3055265', '21', '120']
['3055272', '21', '120']
['3055286', '21', '120']
['3055294', '21', '120']
['3055308', '21', '120']
['3055315', '21', '120']
['3055322', '21', '120']
['3055337', '20', '120']
['3055344', '20', '120']
['3055351', '20', '120']
['3055366', '20', '120']
['3055373', '20', '120']
['3055387', '20', '120']
['3055394', '20', '120']
['3055401', '20', '120']
['3055416', '20', '120']
['3055423', '20', '120']
['3055437', '20', '120']
['3055445', '20', '120']
['3055452', '20', '120']
['3055466', '20', '120']
['3055473', '20', '120']
['3055488', '20', '120']
['3055495', '20', '120']
['3055502', '20', '120']
['3055517', '20', '120']
['3055524', '20', '120']
['3055538', '21', '120']
['3055545', '21', '120']
['3055552', '21', '120']
['3055567', '21', '120']
['3055574', '21', '120']
['3055589', '21', '119']
['3055596', '21', '119']
['3055603', '21', '120']
['3055617', '21', '120']
['3055624', '21', '120']
['3055639', '21', '120']
['3055646', '21', '120']
['3055653', '21', '120']
['3055668', '21', '120']
['3055675', '21', '120']
['3055689', '21', '120']
['3055696', '20', '120']
['3055704', '20', '120']
['3055718', '20', '119']
['3055725', '20', '119']
['3055740', '20', '119']
['3055747', '20', '119']
['3055754', '20', '119']
['3055768', '20', '119']
['3055775', '20', '119']
['3055790', '20', '119']
['3055797', '20', '119']
['3055804', '20', '119']
['3055819', '20', '119']
['3055826', '20', '119']
['3055840', '20', '119']
['3055847', '20', '119']
['3055855', '20', '119']
['3055869', '20', '119']
['3055876', '20', '119']
['3055891', '20', '119']
['3055898', '20', '119']
['3055905', '20', '119']
['3055919', '20', '119']
['3055927', '20', '119']
['3055941', '20', '119']
['3055948', '20', '119']
['3055955', '20', '119']
['3055970', '21', '120']
['3055977', '21', '120']
['3055991', '21', '120']
['3055998', '21', '120']
['3056006', '21', '120']
['3056020', '21', '120']
['3056027', '21', '120']
['3056035', '21', '120']
['3056049', '21', '120']
['3056056', '21', '120']
['3056071', '21', '120']
['3056078', '21', '120']
['3056085', '21', '120']
['3056099', '21', '120']
['3056106', '22', '120']
['3056121', '22', '120']
['3056128', '21', '120']
['3056135', '21', '120']
['3056150', '21', '120']
['3056157', '21', '120']
['3056172', '21', '120']
['3056179', '21', '120']
['3056187', '21', '120']
['3056201', '21', '120']
['3056208', '21', '120']
['3056222', '21', '120']
['3056230', '21', '120']
['3056237', '21', '120']
['3056251', '21', '121']
['3056259', '21', '121']
['3056266', '21', '121']
['3056280', '21', '121']
['3056287', '20', '121']
['3056302', '20', '121']
['3056309', '20', '121']
['3056316', '20', '121']
['3056330', '20', '121']
['3056338', '21', '121']
['3056352', '21', '121']
['3056359', '21', '121']
['3056366', '21', '121']
['3056381', '21', '121']
['3056388', '21', '121']
['3056402', '21', '121']
['3056410', '21', '121']
['3056417', '21', '121']
['3056431', '21', '122']
['3056438', '21', '122']
['3056453', '20', '122']
['3056460', '20', '122']
['3056467', '20', '122']
['3056481', '20', '122']
['3056489', '20', '122']
['3056503', '20', '122']
['3056510', '20', '122']
['3056518', '20', '122']
['3056532', '20', '122']
['3056539', '20', '122']
['3056553', '20', '122']
['3056561', '20', '122']
['3056568', '20', '121']
['3056582', '21', '121']
['3056589', '21', '121']
['3056604', '21', '121']
['3056611', '21', '121']
['3056618', '21', '121']
['3056633', '21', '121']
['3056640', '21', '121']
['3056654', '21', '121']
['3056661', '21', '121']
['3056669', '21', '121']
['3056683', '21', '121']
['3056690', '21', '121']
['3056704', '21', '121']
['3056712', '21', '121']
['3056719', '21', '121']
['3056733', '21', '120']
['3056741', '21', '120']
['3056755', '21', '120']
['3056762', '21', '120']
['3056769', '21', '120']
['3056784', '21', '120']
['3056791', '21', '120']
['3056805', '20', '120']
['3056812', '20', '120']
['3056820', '20', '120']
['3056834', '20', '120']
['3056841', '20', '120']
['3056856', '20', '120']
['3056863', '20', '120']
['3056870', '20', '120']
['3056885', '20', '120']
['3056892', '20', '120']
['3056906', '20', '120']
['3056913', '20', '120']
['3056920', '20', '120']
['3056935', '20', '120']
['3056942', '20', '120']
['3056957', '20', '121']
['3056964', '20', '121']
['3056971', '20', '121']
['3056985', '20', '121']
['3056992', '20', '121']
['3057007', '20', '121']
['3057014', '20', '121']
['3057021', '20', '121']
['3057036', '20', '121']
['3057043', '20', '121']
['3057050', '20', '121']
['3057065', '20', '121']
['3057072', '20', '121']
['3057086', '20', '121']
['3057093', '20', '121']
['3057100', '20', '121']
['3057115', '20', '121']
