Time:1662106365.3327394; +MPOS:74520956,-17,125,0,0,0
Time:1662106365.339836; +MPOS:74520963,-17,125,0,0,0
Time:1662106365.3517876; +MPOS:74520975,-17,125,0,0,0
Time:1662106365.3590605; +MPOS:74520982,-17,125,0,0,0
Time:1662106365.3662772; +MPOS:74520989,-17,125,0,0,0
Time:1662106365.3733113; +MPOS:74520996,-17,125,0,0,0
Time:1662106365.3852468; +MPOS:74521008,-17,125,0,0,0
Time:1662106365.3924804; +MPOS:74521016,-17,125,0,0,0
Time:1662106365.3996468; +MPOS:74521023,-17,126,0,0,0
Time:1662106365.406801; +MPOS:74521030,-17,126,0,0,0
Time:1662106365.4189012; +MPOS:74521042,-17,126,0,0,0
Time:1662106365.4260442; +MPOS:74521049,-17,126,0,0,0
Time:1662106365.4331229; +MPOS:74521056,-17,126,0,0,0
Time:1662106365.4402437; +MPOS:74521064,-17,125,0,0,0
Time:1662106365.4521928; +MPOS:74521076,-17,125,0,0,0
Time:1662106365.459427; +MPOS:74521083,-17,125,0,0,0
Time:1662106365.4666865; +MPOS:74521090,-17,125,0,0,0
Time:1662106365.473705; +MPOS:74521097,-17,125,0,0,0
Time:1662106365.4856968; +MPOS:74521109,-17,125,0,0,0
Time:1662106365.4928863; +MPOS:74521117,-17,125,0,0,0
Time:1662106365.5000432; +MPOS:74521124,-17,125,0,0,0
Time:1662106365.5072453; +MPOS:74521131,-17,125,0,0,0
Time:1662106365.5192437; +MPOS:74521143,-17,125,0,0,0
Time:1662106365.5264876; +MPOS:74521150,-17,125,0,0,0
Time:1662106365.5335076; +MPOS:74521157,-17,125,0,0,0
Time:1662106365.5406454; +MPOS:74521164,-17,124,0,0,0
Time:1662106365.5526197; +MPOS:74521176,-17,124,0,0,0
Time:1662106365.5598166; +MPOS:74521184,-17,124,0,0,0
Time:1662106365.5670924; +MPOS:74521191,-17,124,0,0,0
Time:1662106365.5741968; +MPOS:74521198,-17,124,0,0,0
Time:1662106365.586058; +MPOS:74521210,-17,125,0,0,0
Time:1662106365.59327; +MPOS:74521217,-17,124,0,0,0
Time:1662106365.6004467; +MPOS:74521225,-17,124,0,0,0
Time:1662106365.6075952; +MPOS:74521232,-17,124,0,0,0
Time:1662106365.6196222; +MPOS:74521244,-17,124,0,0,0
Time:1662106365.6268954; +MPOS:74521251,-17,124,0,0,0
Time:1662106365.6339004; +MPOS:74521258,-17,124,0,0,0
Time:1662106365.6410408; +MPOS:74521265,-17,124,0,0,0
Time:1662106365.652976; +MPOS:74521277,-17,124,0,0,0
Time:1662106365.6602294; +MPOS:74521285,-18,124,0,0,0
Time:1662106365.6674368; +MPOS:74521292,-17,124,0,0,0
Time:1662106365.6744912; +MPOS:74521299,-17,124,0,0,0
Time:1662106365.6864815; +MPOS:74521311,-17,124,0,0,0
Time:1662106365.6936631; +MPOS:74521318,-17,124,0,0,0
Time:1662106365.7008245; +MPOS:74521325,-17,124,0,0,0
Time:1662106365.7080076; +MPOS:74521333,-17,124,0,0,0
Time:1662106365.7200012; +MPOS:74521345,-17,124,0,0,0
Time:1662106365.7272522; +MPOS:74521352,-17,124,0,0,0
Time:1662106365.734295; +MPOS:74521359,-17,124,0,0,0
Time:1662106365.7414029; +MPOS:74521366,-17,124,0,0,0
Time:1662106365.7533767; +MPOS:74521378,-17,124,0,0,0
Time:1662106365.760574; +MPOS:74521385,-17,124,0,0,0
Time:1662106365.7678573; +MPOS:74521393,-17,124,0,0,0
Time:1662106365.7748654; +MPOS:74521400,-17,124,0,0,0
Time:1662106365.7868109; +MPOS:74521412,-17,124,0,0,0
Time:1662106365.7940354; +MPOS:74521419,-17,124,0,0,0
Time:1662106365.8012526; +MPOS:74521426,-17,124,0,0,0
Time:1662106365.8083916; +MPOS:74521433,-17,124,0,0,0
Time:1662106365.8203664; +MPOS:74521445,-17,124,0,0,0
Time:1662106365.8275194; +MPOS:74521453,-17,124,0,0,0
Time:1662106365.834706; +MPOS:74521460,-17,124,0,0,0
Time:1662106365.8417845; +MPOS:74521467,-17,124,0,0,0
Time:1662106365.8537507; +MPOS:74521479,-17,124,0,0,0
Time:1662106365.8609564; +MPOS:74521486,-17,124,0,0,0
Time:1662106365.8682144; +MPOS:74521493,-17,124,0,0,0
Time:1662106365.875255; +MPOS:74521501,-17,125,0,0,0
Time:1662106365.8872323; +MPOS:74521513,-17,125,0,0,0
Time:1662106365.894418; +MPOS:74521520,-17,125,0,0,0
Time:1662106365.9015808; +MPOS:74521527,-17,124,0,0,0
Time:1662106365.9087598; +MPOS:74521534,-17,124,0,0,0
Time:1662106365.9207392; +MPOS:74521546,-17,124,0,0,0
Time:1662106365.927941; +MPOS:74521553,-17,124,0,0,0
Time:1662106365.9350445; +MPOS:74521561,-17,124,0,0,0
Time:1662106365.9421604; +MPOS:74521568,-17,125,0,0,0
Time:1662106365.9541266; +MPOS:74521580,-18,125,0,0,0
Time:1662106365.961347; +MPOS:74521587,-18,125,0,0,0
Time:1662106365.9685245; +MPOS:74521594,-18,125,0,0,0
Time:1662106365.9758317; +MPOS:74521601,-18,125,0,0,0
Time:1662106365.9876332; +MPOS:74521613,-18,125,0,0,0
Time:1662106365.9948132; +MPOS:74521621,-18,125,0,0,0
Time:1662106366.001967; +MPOS:74521628,-18,125,0,0,0
Time:1662106366.0091107; +MPOS:74521635,-18,125,0,0,0
Time:1662106366.0210397; +MPOS:74521647,-18,125,0,0,0
Time:1662106366.0283306; +MPOS:74521654,-18,125,0,0,0
Time:1662106366.0354536; +MPOS:74521661,-18,125,0,0,0
Time:1662106366.042543; +MPOS:74521669,-18,125,0,0,0
Time:1662106366.0545137; +MPOS:74521681,-18,125,0,0,0
Time:1662106366.061725; +MPOS:74521688,-18,125,0,0,0
Time:1662106366.0689042; +MPOS:74521695,-19,125,0,0,0
Time:1662106366.0760078; +MPOS:74521702,-19,125,0,0,0
Time:1662106366.088065; +MPOS:74521714,-19,126,0,0,0
Time:1662106366.0951912; +MPOS:74521722,-19,126,0,0,0
Time:1662106366.102373; +MPOS:74521729,-19,126,0,0,0
Time:1662106366.1094813; +MPOS:74521736,-19,126,0,0,0
Time:1662106366.12144; +MPOS:74521748,-19,125,0,0,0
Time:1662106366.128687; +MPOS:74521755,-19,125,0,0,0
Time:1662106366.1358123; +MPOS:74521762,-19,125,0,0,0
Time:1662106366.1429768; +MPOS:74521769,-19,125,0,0,0
Time:1662106366.1548917; +MPOS:74521781,-19,125,0,0,0
Time:1662106366.1620924; +MPOS:74521789,-19,125,0,0,0
Time:1662106366.169283; +MPOS:74521796,-19,125,0,0,0
Time:1662106366.1763728; +MPOS:74521803,-19,126,0,0,0
Time:1662106366.1883721; +MPOS:74521815,-19,126,0,0,0
Time:1662106366.1955707; +MPOS:74521822,-19,125,0,0,0
Time:1662106366.2027285; +MPOS:74521830,-19,125,0,0,0
Time:1662106366.2098525; +MPOS:74521837,-19,125,0,0,0
Time:1662106366.2218378; +MPOS:74521849,-19,125,0,0,0
Time:1662106366.2291584; +MPOS:74521856,-19,125,0,0,0
Time:1662106366.2362049; +MPOS:74521863,-19,125,0,0,0
Time:1662106366.243319; +MPOS:74521870,-19,125,0,0,0
Time:1662106366.2553158; +MPOS:74521882,-19,125,0,0,0
Time:1662106366.2625062; +MPOS:74521890,-19,125,0,0,0
Time:1662106366.2696373; +MPOS:74521897,-19,125,0,0,0
Time:1662106366.2767627; +MPOS:74521904,-19,125,0,0,0
Time:1662106366.2887423; +MPOS:74521916,-19,125,0,0,0
Time:1662106366.295958; +MPOS:74521923,-19,126,0,0,0
Time:1662106366.303121; +MPOS:74521930,-19,126,0,0,0
Time:1662106366.310222; +MPOS:74521937,-19,126,0,0,0
Time:1662106366.322196; +MPOS:74521949,-19,126,0,0,0
Time:1662106366.3294291; +MPOS:74521957,-19,126,0,0,0
Time:1662106366.3365648; +MPOS:74521964,-19,126,0,0,0
Time:1662106366.3437436; +MPOS:74521971,-19,125,0,0,0
Time:1662106366.355651; +MPOS:74521983,-19,125,0,0,0
